link,college name,Estd,Rating,Review,facilities,image,Address,contact_no,website
https://collegedunia.com/college/58903-t-john-college-tjc-bangalore,"T John College - [TJC], Bangalore",Estd 1993,"8.0,8.0",18 reviews,"Medical,Sports,Comp,Labs,Laboratory,Library,Auditorium,Cafeteria,Classrooms,Hostel,",https://images.collegedunia.com/public/college_data/images/appImage/1494501528HHHHHHHHHHHHHHHHHHHHH.png?w=1286&h=193&mode=stretch,"88/1, Bannerghatta Main Rd, Gottigere 
 Bangalore - 560083 
 Karnataka ,    India ",",080-40250555  ,    49030555",http://www.tjohncollege.com/page/T_John_College
https://collegedunia.com/college/7793-the-oxford-dental-college-and-hospital-bangalore,"The Oxford Dental College and Hospital, Bangalore",Estd 1974,"6.1,6.1",3 reviews,"Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Comp,Labs,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/7793_OXFOEDD_APP.jpg?w=1286&h=193&mode=stretch,"10th milestone, Bommanahalli, Hosur road 
 Bangalore - 560068 
 Karnataka ,    India ",",Admission Cell -  080-30219626  ,    30219601  ,    30219602  ,    30219603,Office -  8030219733  ,    Reception -  8030219701  ,    Manager -  8030219734  ,    Principal -  8030219704",http://www.theoxford.edu/dental/
https://collegedunia.com/college/5882-national-institute-of-design-nid-bangalore,"National Institute of Design - [NID], Bangalore",Estd 2006,"8.5,8.5",17 reviews,"Library,Comp,Labs,Cafeteria,Hostel,Sports,Security,",https://images.collegedunia.com/public/college_data/images/appImage/5882_nid.jpg?w=1286&h=193&mode=stretch,"12 HMT Link Road, Off Tumkur Road 
 Bangalore - 522510 
 Karnataka ,    India ",",079-26623462",http://www.nid.edu
https://collegedunia.com/college/14673-r-v-college-of-engineering-rvce-bangalore,"R V College of Engineering - [RVCE], Bangalore",Estd 1963,"8.4,8.4",141 reviews,"Cafeteria,Library,Medical,Laboratory,Auditorium,Hostel,Comp,Labs,Transport,Classrooms,Security,Wi-Fi,Campus,Banks,Sports,",https://images.collegedunia.com/public/college_data/images/appImage/1601467085Cover.jpg?w=1286&h=193&mode=stretch,"R V Vidyanikethan Post, Mysuru Road 
 Bangalore - 560059 
 Karnataka ,    India ",",080-67178000  ,    67178021  ,    67178020",http://www.rvce.edu.in
https://collegedunia.com/college/8845-kle-societys-law-college-bangalore,"KLE Society's Law College, Bangalore",Estd 1975,"6.5,6.5",12 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/8845_KLESLC_APP.jpg?w=1286&h=193&mode=stretch,"CA-2, Sir M. Vishweshwaraiah Layout, V Block, Ullal 
 Bangalore - 560091 
 Karnataka ,    India ",",080-23485372  ,    23488197  ,    23286489",http://www.klelawcollege.org
https://collegedunia.com/college/5621-ramaiah-institute-of-technology-rit-bangalore,"Ramaiah Institute of Technology - [RIT], Bangalore",Estd 1962,"8.4,8.4",160 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,",https://images.collegedunia.com/public/college_data/images/appImage/1489660831MSRITCampus.jpg?w=1286&h=193&mode=stretch,"MSR College Road, MSR Nagar, 
 Bangalore - 560054 
 Karnataka ,    India ",",Principal -  080-23600822  ,    23606939",http://www.msrit.edu
https://collegedunia.com/college/8628-bangalore-institute-of-legal-studies-bils-bangalore,"Bangalore Institute of Legal Studies - [BILS], Bangalore",Estd 1993,"7.1,7.1",20 reviews,"Library,Hostel,Auditorium,Comp,Labs,Cafeteria,Banks,Classrooms,Security,Sports,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/8628_BILS_APP.jpg?w=1286&h=193&mode=stretch,"Rashtriya Vidyalaya Rd, 2nd Block, Basavanagudi 
 Bangalore - 560004 
 Karnataka ,    India ",",080-26933227  ,    26933231",http://www.bils.ac.in/
https://collegedunia.com/college/10687-ramaiah-medical-college-bangalore,"Ramaiah Medical College, Bangalore",Estd 1979,"8.8,8.8",7 reviews,"Medical,Library,Auditorium,Hostel,Laboratory,Gym,Cafeteria,Comp,Labs,Sports,",https://images.collegedunia.com/public/college_data/images/appImage/10687_1443615917MSRMC_NEW.jpg?w=1286&h=193&mode=stretch,"MSR Nagar, MSRIT Post 
 Bangalore - 560054 
 Karnataka ,    India ",",080-23605190  ,    23601742  ,    23601743  ,    23605408",https://www.msrmc.ac.in/
https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore,"International Institute of Information Technology - [IIIT-B], Bangalore",Estd 1999,"8.7,8.7",19 reviews,"Comp,Labs,Sports,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,Classrooms,",https://images.collegedunia.com/public/college_data/images/appImage/25604_IIITB_APP.jpg?w=1286&h=193&mode=stretch,"26/C, Electronics City, Hosur Road 
 Bangalore - 560100 
 Karnataka ,    India ",",080-28527627  ,    41407777",http://www.iiitb.ac.in
https://collegedunia.com/college/2209-jyoti-nivas-college-jnc-bangalore,"Jyoti Nivas College - [JNC], Bangalore",Estd 1966,"7.8,7.8",29 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/2209_JNC.jpg?w=1286&h=193&mode=stretch,"Hosur Road, 
 Bangalore - 560095 
 Karnataka ,    India ",",080-25530137  ,    25501919  ,    25502143,Admissions Coordinator -  9886754713",http://www.jyotinivas.org/
